Date,EUR/JPY,USD/NOK,USD/ZAR,RUB/USD,NOK/SEK,NZD/JPY,AUD/NZD,EUR/USD,GBP/JPY,GBP/CHF,GBP/USD,USD/AUD
14/03/2000,101.88,8.4227,6.4325,0.0351,1.0295,51.38,1.2583,0.9792,165.97,2.6253,1.5772,0.6165
15/03/2000,102.23,8.4327,6.465,0.0352,1.0343,51.7,1.2538,0.98,166.2,2.6214,1.573,0.6137
16/03/2000,102.53,8.3951,6.44,0.0352,1.0341,51.55,1.2509,0.9834,166.4,2.6162,1.5767,0.6123
17/03/2000,103.75,8.4004,6.4685,0.0349,1.0283,51.77,1.251,0.9846,168.01,2.611,1.5743,0.6068
20/03/2000,103.57,8.4073,6.4825,0.0352,1.0267,51.78,1.2495,0.9852,166.98,2.5994,1.569,0.6084
21/03/2000,103.02,8.4752,6.4935,0.0353,1.0246,52.33,1.2458,0.9763,168.05,2.6299,1.5727,0.6108
22/03/2000,102.91,8.4677,6.455,0.0352,1.025,52.15,1.2424,0.9719,168.94,2.6409,1.578,0.6053
23/03/2000,104.33,8.3607,6.4775,0.0353,1.0334,52.48,1.2395,0.9835,170.46,2.6126,1.5877,0.6062
24/03/2000,104.45,8.2993,6.4785,0.0353,1.028,52.31,1.2429,0.9866,170.32,2.5887,1.5936,0.6088
27/03/2000,103.2,8.3916,6.472,0.0353,1.0276,53.35,1.2242,0.977,169.49,2.6097,1.5879,0.6117
28/03/2000,101.69,8.3871,6.4885,0.0353,1.0211,53.33,1.222,0.973,168.17,2.6309,1.5889,0.6155
29/03/2000,100.6,8.4659,6.512,0.0352,1.0218,52.9,1.2232,0.9621,168.4,2.669,1.5926,0.6119
30/03/2000,101.28,8.3966,6.591,0.0349,1.0278,52.77,1.2244,0.9722,168.2,2.6453,1.596,0.6132
31/03/2000,98.3,8.4623,6.5252,0.0349,1.021,51.03,1.2238,0.9667,163.67,2.6502,1.5921,0.6082
03/04/2000,100.1,8.4736,6.558,0.0348,1.0271,52.57,1.2136,0.969,167.5,2.6395,1.5973,0.6076
04/04/2000,101.06,8.4633,6.5625,0.0348,1.0198,52.7,1.2077,0.9746,167.63,2.6114,1.5929,0.6059
05/04/2000,100.95,8.4677,6.58,0.0348,1.0219,52.78,1.2043,0.9737,166.13,2.5921,1.5835,0.6063
06/04/2000,100.35,8.4698,6.5825,0.0349,1.0207,52.47,1.2005,0.9708,165.54,2.5912,1.5802,0.6031
07/04/2000,100.66,8.5042,6.5605,0.0349,1.0188,52.55,1.2005,0.9652,166.46,2.5956,1.5793,0.5993
10/04/2000,102.47,8.4884,6.5625,0.0350,1.0111,52.81,1.1986,0.9718,168.72,2.5901,1.5855,0.5987
11/04/2000,102.56,8.528,6.59,0.0350,1.0151,53.31,1.1957,0.9692,169.56,2.6034,1.5857,0.5961
12/04/2000,101.4,8.5137,6.595,0.0350,1.0205,52.65,1.2008,0.9664,167.99,2.6094,1.5884,0.5968
13/04/2000,100.83,8.5312,6.568,0.0350,1.0193,52.67,1.1984,0.9642,167.93,2.6141,1.5864,0.5973
14/04/2000,100.84,8.5218,6.5947,0.0350,1.0167,52.23,1.199,0.9684,166.44,2.5909,1.5882,0.5975
17/04/2000,99.57,8.5967,6.6155,0.0347,1.0162,51.7,1.1953,0.9633,165.21,2.6062,1.5802,0.5911
18/04/2000,99.05,8.6367,6.587,0.0348,1.0104,51.81,1.2009,0.957,165.14,2.6281,1.5772,0.5955
19/04/2000,98.56,8.6807,6.6575,0.0350,1.0096,52.16,1.1965,0.9489,165.78,2.6408,1.5819,0.5959
20/04/2000,99.15,8.69,6.7225,0.0350,1.0103,52.19,1.1996,0.9457,166.99,2.6484,1.5797,0.5933
24/04/2000,99.25,8.6692,6.725,0.0350,1.0148,52.36,1.2009,0.9486,167.09,2.6471,1.5795,0.595
25/04/2000,97.93,8.8461,6.735,0.0351,1.0053,52.56,1.2001,0.9287,168.17,2.7012,1.5814,0.5932
26/04/2000,98.12,8.8146,6.8127,0.0351,1.0077,51.7,1.2079,0.9323,167.42,2.6821,1.5755,0.5881
27/04/2000,96.83,8.9575,6.8453,0.0351,0.9989,51.83,1.2058,0.9192,167.3,2.7159,1.5721,0.5888
28/04/2000,98.67,8.9258,6.79,0.0352,0.9991,52.51,1.2032,0.9178,167.93,2.6651,1.552,0.5842
01/05/2000,99.6,8.9047,6.78,0.0352,0.9993,52.93,1.1964,0.9252,168.97,2.6533,1.5539,0.582
02/05/2000,98.68,8.9232,6.77,0.0352,0.999,52.58,1.2061,0.9161,169.18,2.6745,1.5605,0.5859
03/05/2000,97.66,9.0047,6.835,0.0352,1.0012,53.49,1.207,0.9043,170.26,2.6936,1.5617,0.5935
04/05/2000,96.25,9.1047,6.9703,0.0352,1.0009,52.98,1.2045,0.8982,166.53,2.6831,1.5421,0.5916
05/05/2000,97.37,9.0783,6.9525,0.0352,1.0018,53.43,1.213,0.9065,165.94,2.6437,1.5286,0.597
08/05/2000,97.81,9.0752,6.96,0.0352,1.0001,52.55,1.2051,0.905,167.1,2.6441,1.533,0.5822
09/05/2000,99.17,9.0084,7.09,0.0352,1.0015,52.64,1.2152,0.9146,167.29,2.6251,1.531,0.5839
10/05/2000,99.24,9.0429,7.045,0.0353,1.0054,52.17,1.2207,0.917,165.63,2.6006,1.5125,0.582
11/05/2000,97.8,9.1278,7.03,0.0353,1.006,52,1.2128,0.9074,163.17,2.5976,1.5044,0.5786
12/05/2000,99.69,8.9799,6.995,0.0353,1.0041,51.95,1.21,0.9263,164.41,2.5681,1.5174,0.581
15/05/2000,99.66,8.9712,7.055,0.0354,1.0101,51.48,1.2136,0.9203,164.58,2.5712,1.5058,0.5737
16/05/2000,98.72,9.0729,7.055,0.0354,1.005,51.93,1.22,0.9111,163.85,2.5726,1.4944,0.5764
17/05/2000,97.85,9.1171,7.1,0.0352,1.0022,50.52,1.2291,0.9025,163.56,2.5952,1.4964,0.5685
18/05/2000,97.25,9.1277,7.1352,0.0353,0.9998,49.03,1.2655,0.9005,161.32,2.58,1.4842,0.571
